date,exact value,value
27/01/2014,0.283977604,0.284
28/01/2014,0.288411292,0.288
29/01/2014,0.292733854,0.293
30/01/2014,0.292694792,0.293
31/01/2014,0.289301563,0.289
1/02/2014,0.291479167,0.291
2/02/2014,0.288817709,0.289
3/02/2014,0.268922917,0.269
4/02/2014,0.266334375,0.266
5/02/2014,0.265127605,0.265
6/02/2014,0.272008854,0.272
7/02/2014,0.263925412,0.264
8/02/2014,0.281827603,0.282
9/02/2014,0.289370024,0.289
10/02/2014,0.287846875,0.288
11/02/2014,0.298485417,0.298
12/02/2014,0.285238542,0.285
13/02/2014,0.285896875,0.286
14/02/2014,0.300697916,0.301
15/02/2014,0.282661458,0.283
16/02/2014,0.268070312,0.268
17/02/2014,0.263055552,0.263
18/02/2014,0.260647296,0.261
19/02/2014,0.247490104,0.247
20/02/2014,0.255142187,0.255
